slug,category_slug,name,sort_order
pre-primary-pre-school-pre-nursery-play-group-kg-i,pre-primary-pre-school,Pre-Nursery / Play Group / KG-I,1
primary-grade-1-to-5,primary,Grade 1 to 5,1
middle-lower-secondary-grade-6-to-8,middle-lower-secondary,Grade 6 to 8,1
matriculation-grade-9-and-10-arts,matriculation,Grade 9 & 10 - Arts,1
matriculation-grade-9-and-10-science,matriculation,Grade 9 & 10 - Science,2
igcse-igcse-core,igcse,IGCSE Core,1
igcse-o-levels,igcse,O Levels,2
igcse-as-and-a-levels,igcse,AS & A Levels,3
intermediate-fa-part-i-and-part-ii,intermediate,FA (Part I & Part II),1
intermediate-fsc-part-i-and-part-ii,intermediate,FSC Part I & Part II,2
adp-2-years-all,adp-2-years,All,1
bs-4-years-semester-1-8,bs-4-years,Semester 1 - 8,1
test-preparations-gre-preparation,test-preparations,GRE Preparation,1
test-preparations-gmat-preparation,test-preparations,GMAT Preparation,2
test-preparations-ielts-preparation,test-preparations,IELTS Preparation,3
test-preparations-toefl-preparation,test-preparations,TOEFL Preparation,4
test-preparations-pte-academic-preparation,test-preparations,PTE Academic Preparation,5
test-preparations-mdcat-preparation,test-preparations,MDCAT Preparation,6
test-preparations-ecat-preparation,test-preparations,ECAT Preparation,7
test-preparations-net-preparation,test-preparations,NET Preparation,8
test-preparations-fast-nu-admission-test-preparation,test-preparations,FAST-NU Admission Test Preparation,9
test-preparations-giki-admission-test-preparation,test-preparations,GIKI Admission Test Preparation,10
test-preparations-comsats-admission-test-preparation,test-preparations,COMSATS Admission Test Preparation,11
test-preparations-lums-admission-test-preparation,test-preparations,LUMS Admission Test Preparation,12
test-preparations-nts-test-preparation,test-preparations,NTS Test Preparation,13
test-preparations-nat-preparation,test-preparations,NAT Preparation,14
test-preparations-gat-general-preparation,test-preparations,GAT General Preparation,15
test-preparations-gat-subject-preparation,test-preparations,GAT Subject Preparation,16
test-preparations-etea-test-preparation,test-preparations,ETEA Test Preparation,17
test-preparations-ecat-engineering-entry-test-preparation,test-preparations,ECAT Engineering Entry Test Preparation,18
test-preparations-university-admission-test-preparation,test-preparations,University Admission Test Preparation,19
test-preparations-medical-entry-test-preparation,test-preparations,Medical Entry Test Preparation,20
test-preparations-engineering-entry-test-preparation,test-preparations,Engineering Entry Test Preparation,21
test-preparations-law-admission-test-lat-preparation,test-preparations,Law Admission Test (LAT) Preparation,22
test-preparations-law-gat-preparation,test-preparations,Law GAT Preparation,23
test-preparations-css-preparation,test-preparations,CSS Preparation,24
test-preparations-pms-preparation,test-preparations,PMS Preparation,25
test-preparations-fpsc-test-preparation,test-preparations,FPSC Test Preparation,26
test-preparations-ppsc-test-preparation,test-preparations,PPSC Test Preparation,27
test-preparations-spsc-test-preparation,test-preparations,SPSC Test Preparation,28
test-preparations-kppsc-test-preparation,test-preparations,KPPSC Test Preparation,29
test-preparations-bpsc-test-preparation,test-preparations,BPSC Test Preparation,30
test-preparations-ajkpsc-test-preparation,test-preparations,AJKPSC Test Preparation,31
test-preparations-nts-recruitment-test-preparation,test-preparations,NTS Recruitment Test Preparation,32
test-preparations-fpsc-competitive-exam-preparation,test-preparations,FPSC Competitive Exam Preparation,33
test-preparations-police-recruitment-test-preparation,test-preparations,Police Recruitment Test Preparation,34
test-preparations-armed-forces-test-preparation,test-preparations,Armed Forces Test Preparation,35
test-preparations-issb-preparation,test-preparations,ISSB Preparation,36
test-preparations-pakistan-army-initial-test-preparation,test-preparations,Pakistan Army Initial Test Preparation,37
test-preparations-pakistan-navy-test-preparation,test-preparations,Pakistan Navy Test Preparation,38
test-preparations-pakistan-air-force-test-preparation,test-preparations,Pakistan Air Force Test Preparation,39
test-preparations-cadet-college-entry-test-preparation,test-preparations,Cadet College Entry Test Preparation,40
test-preparations-military-college-entry-test-preparation,test-preparations,Military College Entry Test Preparation,41
test-preparations-scholarship-test-preparation,test-preparations,Scholarship Test Preparation,42
test-preparations-school-admission-test-preparation,test-preparations,School Admission Test Preparation,43
test-preparations-college-admission-test-preparation,test-preparations,College Admission Test Preparation,44
test-preparations-university-entrance-test-preparation,test-preparations,University Entrance Test Preparation,45
test-preparations-english-proficiency-test-preparation,test-preparations,English Proficiency Test Preparation,46
test-preparations-general-aptitude-test-preparation,test-preparations,General Aptitude Test Preparation,47
