category_slug,level_slug,subject_slug,leaf_type
pre-primary-pre-school,pre-primary-pre-school-pre-nursery-play-group-kg-i,english,subject
pre-primary-pre-school,pre-primary-pre-school-pre-nursery-play-group-kg-i,urdu,subject
pre-primary-pre-school,pre-primary-pre-school-pre-nursery-play-group-kg-i,mathematics,subject
pre-primary-pre-school,pre-primary-pre-school-pre-nursery-play-group-kg-i,phonics,subject
pre-primary-pre-school,pre-primary-pre-school-pre-nursery-play-group-kg-i,pre-reading,subject
pre-primary-pre-school,pre-primary-pre-school-pre-nursery-play-group-kg-i,pre-writing,subject
pre-primary-pre-school,pre-primary-pre-school-pre-nursery-play-group-kg-i,vocabulary,subject
pre-primary-pre-school,pre-primary-pre-school-pre-nursery-play-group-kg-i,communication-skills,subject
pre-primary-pre-school,pre-primary-pre-school-pre-nursery-play-group-kg-i,general-knowledge,subject
pre-primary-pre-school,pre-primary-pre-school-pre-nursery-play-group-kg-i,world-around-us,subject
pre-primary-pre-school,pre-primary-pre-school-pre-nursery-play-group-kg-i,science,subject
pre-primary-pre-school,pre-primary-pre-school-pre-nursery-play-group-kg-i,environmental-awareness,subject
pre-primary-pre-school,pre-primary-pre-school-pre-nursery-play-group-kg-i,islamic-studies-islamiat,subject
pre-primary-pre-school,pre-primary-pre-school-pre-nursery-play-group-kg-i,nazra-quran,subject
pre-primary-pre-school,pre-primary-pre-school-pre-nursery-play-group-kg-i,quran-studies,subject
pre-primary-pre-school,pre-primary-pre-school-pre-nursery-play-group-kg-i,mother-tongue-regional-language,subject
pre-primary-pre-school,pre-primary-pre-school-pre-nursery-play-group-kg-i,health-and-hygiene,subject
pre-primary-pre-school,pre-primary-pre-school-pre-nursery-play-group-kg-i,safety-education,subject
pre-primary-pre-school,pre-primary-pre-school-pre-nursery-play-group-kg-i,social-and-emotional-development,subject
pre-primary-pre-school,pre-primary-pre-school-pre-nursery-play-group-kg-i,moral-and-character-education,subject
pre-primary-pre-school,pre-primary-pre-school-pre-nursery-play-group-kg-i,computer-skills,subject
pre-primary-pre-school,pre-primary-pre-school-pre-nursery-play-group-kg-i,digital-literacy,subject
pre-primary-pre-school,pre-primary-pre-school-pre-nursery-play-group-kg-i,stem,subject
