slug,name
3d-design-and-printing,3D Design & Printing
accounting,Accounting
actuarial-science,Actuarial Science
additional-mathematics,Additional Mathematics
agriculture,Agriculture
agronomy,Agronomy
allied-health-sciences,Allied Health Sciences
animal-sciences,Animal Sciences
anthropology,Anthropology
applied-art,Applied Art
applied-mathematics,Applied Mathematics
applied-psychology,Applied Psychology
arabic,Arabic
arabic-elective,Arabic Elective
archaeology,Archaeology
architecture,Architecture
art-and-design,Art & Design
art-and-drawing,Art & Drawing
artificial-intelligence,Artificial Intelligence
artificial-intelligence-and-robotics,Artificial Intelligence & Robotics
arts,Arts
aviation-management,Aviation Management
balochi,Balochi
bangladesh-studies,Bangladesh Studies
banking-and-finance,Banking & Finance
bengali,Bengali
biblical-studies,Biblical Studies
biochemistry,Biochemistry
bioinformatics,Bioinformatics
biology,Biology
biomedical-engineering,Biomedical Engineering
biotechnology,Biotechnology
biotechnology-and-genetic-engineering,Biotechnology & Genetic Engineering
blockchain-technology,Blockchain Technology
botany,Botany
brahui,Brahui
business,Business
business-administration,Business Administration
business-analytics,Business Analytics
business-management,Business Management
business-studies,Business Studies
character-and-moral-education,Character & Moral Education
chemical-engineering,Chemical Engineering
chemistry,Chemistry
child-development-and-family-living,Child Development & Family Living
chinese-language,Chinese Language
chinese-language-and-literature,Chinese Language & Literature
civics,Civics
civics-elective,Civics Elective
civil-engineering,Civil Engineering
classical-languages,Classical Languages
classical-studies,Classical Studies
climate-change,Climate Change
clinical-psychology,Clinical Psychology
clothing-and-textile,Clothing & Textile
cloud-computing,Cloud Computing
co-ordinated-sciences,Co-ordinated Sciences
coding,Coding
combined-science,Combined Science
commerce,Commerce
commercial-practices,Commercial Practices
communication-skills,Communication Skills
comparative-religion,Comparative Religion
computational-biology,Computational Biology
computational-mathematics,Computational Mathematics
computational-physics,Computational Physics
computer-engineering,Computer Engineering
computer-programming,Computer Programming
computer-science,Computer Science
computer-science-and-entrepreneurship,Computer Science & Entrepreneurship
computer-science-elective,Computer Science Elective
computer-skills,Computer Skills
confidence-building,Confidence Building
craft,Craft
creative-arts,Creative Arts
creative-writing,Creative Writing
creativity-activity-service,"Creativity, Activity, Service"
criminology,Criminology
curriculum-and-instruction,Curriculum & Instruction
cyber-security,Cyber Security
dance,Dance
data-analytics,Data Analytics
data-science,Data Science
database-management,Database Management
defence-and-strategic-studies,Defence & Strategic Studies
defence-studies,Defence Studies
design,Design
design-and-technology,Design & Technology
design-technology,Design Technology
development-studies,Development Studies
digital-literacy,Digital Literacy
digital-marketing,Digital Marketing
digital-media-and-design,Digital Media & Design
digital-society,Digital Society
drama,Drama
drama-and-performing-arts,Drama & Performing Arts
drama-and-role-play,Drama & Role Play
drawing,Drawing
e-commerce,E-Commerce
early-childhood-education,Early Childhood Education
economics,Economics
economics-and-business,Economics & Business
economics-and-finance,Economics & Finance
economics-elective,Economics Elective
education,Education
education-elective,Education Elective
educational-leadership-and-management,Educational Leadership & Management
educational-planning-and-management,Educational Planning & Management
educational-psychology,Educational Psychology
educational-technology,Educational Technology
electrical-engineering,Electrical Engineering
electronics,Electronics
electronics-engineering,Electronics Engineering
elementary-education,Elementary Education
energy-engineering,Energy Engineering
energy-studies,Energy Studies
english,English
english-elective,English Elective
english-general-paper,English General Paper
english-grammar,English Grammar
english-language,English Language
english-language-and-linguistics,English Language & Linguistics
english-language-and-literature,English Language & Literature
english-literature,English Literature
entrepreneurship,Entrepreneurship
environmental-awareness,Environmental Awareness
environmental-education,Environmental Education
environmental-engineering,Environmental Engineering
environmental-management,Environmental Management
environmental-science,Environmental Science
environmental-studies,Environmental Studies
environmental-systems-and-societies,Environmental Systems & Societies
epidemiology,Epidemiology
ethics,Ethics
ethics-religious-education,Ethics / Religious Education
european-history,European History
extended-essay,Extended Essay
fashion-and-textiles,Fashion & Textiles
fashion-design,Fashion Design
film,Film
film-and-television,Film & Television
finance,Finance
financial-literacy,Financial Literacy
fine-arts,Fine Arts
fine-arts-elective,Fine Arts Elective
fine-motor-skills,Fine Motor Skills
fintech,FinTech
food-and-nutrition,Food & Nutrition
food-science-and-technology,Food Science & Technology
french,French
french-language,French Language
french-language-and-literature,French Language & Literature
further-mathematics,Further Mathematics
game-development,Game Development
gardening,Gardening
gender-studies,Gender Studies
general-knowledge,General Knowledge
general-mathematics,General Mathematics
general-science,General Science
genetics,Genetics
geography,Geography
geography-elective,Geography Elective
geology,Geology
german,German
german-language,German Language
german-language-and-literature,German Language & Literature
global-perspectives,Global Perspectives
global-perspectives-and-research,Global Perspectives & Research
global-politics,Global Politics
graphic-design,Graphic Design
gross-motor-skills,Gross Motor Skills
hadith-studies,Hadith Studies
handwriting,Handwriting
handwriting-readiness,Handwriting Readiness
health-and-hygiene,Health & Hygiene
health-and-physical-education,Health & Physical Education
health-education,Health Education
hinduism,Hinduism
history,History
history-elective,History Elective
history-of-islam,History of Islam
history-of-muslim-india,History of Muslim India
history-of-pakistan,History of Pakistan
history-of-the-modern-world,History of the Modern World
home-economics,Home Economics
home-economics-elective,Home Economics Elective
horticulture,Horticulture
hotel-management,Hotel Management
human-nutrition-and-dietetics,Human Nutrition & Dietetics
human-resource-management,Human Resource Management
ict,ICT
independence-skills,Independence Skills
individuals-and-societies,Individuals & Societies
information-systems,Information Systems
information-technology,Information Technology
information-technology-ict,Information Technology / ICT
interior-design,Interior Design
international-business,International Business
international-development,International Development
international-history,International History
international-relations,International Relations
islamiat-islamic-studies,Islamiat / Islamic Studies
islamic-banking-and-finance,Islamic Banking & Finance
islamic-economics,Islamic Economics
islamic-education-islamiat,Islamic Education / Islamiat
islamic-finance,Islamic Finance
islamic-studies,Islamic Studies
islamic-studies-islamiat,Islamic Studies / Islamiat
islamic-studies-elective,Islamic Studies Elective
islamiyat,Islamiyat
islamiyat-islamic-studies,Islamiyat / Islamic Studies
journalism,Journalism
language,Language
language-and-literature,Language & Literature
language-a-language-and-literature,Language A: Language & Literature
language-a-literature,Language A: Literature
language-ab-initio,Language ab initio
language-acquisition,Language Acquisition
language-b,Language B
law,Law
leadership-and-management,Leadership & Management
library-and-information-science,Library & Information Science
library-reading,Library / Reading
library-science,Library Science
life-skills,Life Skills
literature-and-performance,Literature & Performance
literature-in-english,Literature in English
maker-education,Maker Education
management,Management
management-sciences,Management Sciences
marine-science,Marine Science
marketing,Marketing
mass-communication,Mass Communication
materials-science,Materials Science
mathematics,Mathematics
mathematics-analysis-and-approaches,Mathematics: Analysis & Approaches
mathematics-applications-and-interpretation,Mathematics: Applications & Interpretation
mechanical-engineering,Mechanical Engineering
mechatronics-engineering,Mechatronics Engineering
media-and-communication,Media & Communication
media-studies,Media Studies
